url,url_len,tld,https,label
http://members.tripod.com/russiastation/,40,com,yes,good
http://www.ddj.com/cpp/184403822,32,com,yes,good
http://www.naef-usa.com/,24,com,yes,good
http://www.ff-b2b.de/,21,de,no,bad
http://us.imdb.com/title/tt0176269/,35,com,yes,good
http://efilmcritic.com/hbs.cgi?movie=311,40,com,yes,good
http://christian.net/,21,net,yes,good
http://www.indsource.com,24,com,yes,good
http://www.greatestescapes.com,30,com,yes,good
http://hdalter.tripod.com/,26,com,yes,good
http://www.kinderview.com/,26,com,yes,good
http://www.elsevier.com/locate/issn/0969-9961,45,com,yes,good
http://michel.swing.free.fr/,28,fr,yes,good
http://www.montanasporthorses.com/,34,com,yes,good
http://www.izoom.com/,21,com,yes,good
http://knucklehead.us/,22,us,no,good
http://www.sustainabledrainage.co.uk/,37,co.uk,yes,good
http://www.enduringlight.org/,29,org,no,good
http://groups.yahoo.com/group/aoshack/,38,com,yes,good
http://www.elecplay.com/reviews_article.php?article=8494,56,com,yes,good
http://www.metacritic.com/film/titles/maybebaby,47,com,yes,good
http://www.cmt.com/art/search/art.main.jhtml?ai_id=508005,57,com,yes,good
http://www.jbequipment.net/,27,net,yes,good
http://groups.yahoo.com/group/solitarycircle/,45,com,yes,good
http://www.canterburyfarm.com/,30,com,yes,good
http://business.vsnl.com/ceipl,30,com,yes,good
http://www.bobbycogdell.com/,28,com,yes,good
http://www.angelfire.com/music2/hideous/index.html,50,com,yes,good
http://www.geoexchange.org,26,org,yes,good
http://www.staplcotn.com/75-year-history.html,45,com,no,good
http://www.tucsonstage.com/,27,com,yes,good
http://www.classicmovies.org/300int.htm,39,org,yes,good
http://www.runet.edu/athletics/sports/mt.html,45,edu,yes,good
http://www.theblackmoon.com/,28,com,no,good
http://www.ai.sri.com/geovrml/,30,com,yes,good
http://trishstratus.8k.com/,27,com,yes,good
http://www.kelpiesoft.com/cm/,29,com,yes,good
http://www.wm.edu/so/greeks/,28,edu,yes,good
http://www.jewishlink.net,25,net,no,good
http://www.photoshopcafe.com/,29,com,yes,good
http://www.caafinearts.org/,27,org,yes,good
http://www.elecplay.com/reviews_article.php?article=6616,56,com,yes,good
http://kgb.emulationworld.com/,30,com,yes,good
http://www.craftsbyhand.com/,28,com,no,good
http://www.hsaba.com/,21,com,yes,good
http://www.sptspt.it/,21,it,yes,good
http://eyeball.4mg.com,22,com,yes,good
http://www.travel-island.com,28,com,yes,good
http://www.tlcreations.com/,27,com,no,good
http://www.nbc.brygge.dk/,25,dk,yes,good
http://www.formateam.com,24,com,no,good
http://www.angelfire.com/ar2/bonnerdale/,40,com,yes,good
http://www.integratedpos.com,28,com,yes,good
http://www.vallancepottery.ca/,30,ca,yes,good
http://www.jung-hebetechnik.de,30,de,no,good
http://www.mbr-pwrc.usgs.gov/id/framlst/i7260id.html,52,gov,yes,good
http://www.jtemachine.com/,26,com,yes,good
http://www.elsevier.com/homepage/sah/mito/,42,com,yes,good
http://is-it-true.org/nt/nt2000,31,org,yes,good
http://www.webteams.co.uk/home.aspx?team=newscarboroughfc,57,co.uk,yes,good
http://www.learn.unh.edu/,25,edu,no,good
http://www.woofmang.com/,24,com,yes,good
http://www.rhino3d.com/,23,com,yes,good
http://www.chemcoint.com/,25,com,yes,good
http://dracula-land.sexomultiple.com/cg-amateur/warn/index.html,63,com,no,bad
http://ip30.eti.uva.nl/bis/flora.php?selected=beschrijving&amp;menuentry=soorten&amp;id=3264,92,nl,no,good
http://www.nise.go.jp/kenshuka/jokan/gallery/,45,go.jp,yes,good
http://www.michael-cartwright.com/,34,com,yes,good
http://bancroft.berkeley.edu/,29,edu,yes,good
http://www.wetaskiwinmissionchurch.org/,39,org,yes,good
http://www.benjerry.com/halloween/,34,com,yes,good
http://www.organicmonitor.com,29,com,yes,good
http://www.gaia.org.ar,22,org.ar,yes,good
http://cacoprepsports.blogspot.com/,35,blogspot.com,yes,good
http://www.rochester.edu/college/phl/,37,edu,yes,good
http://www.geocities.com/televisioncity/2034/,45,com,yes,good
http://www.ignitemysite.com/,28,com,yes,good
http://www.tvguide.com/movies/colony/133748,43,com,no,good
http://www.greentours.co.uk/,28,co.uk,no,good
http://www.okamotostudionyc.com,31,com,no,good
http://www.tmachin.co.uk/,25,co.uk,yes,good
http://www.bodyworku.com/,25,com,yes,good
http://www.hailtheale.com/,26,com,yes,good
http://www.publicwork.org/,26,org,yes,good
http://www.grandprixskiclub.com,31,com,no,good
http://www.friendshipvillageoh.com/,35,com,yes,good
http://www.rahudsongallery.com/,31,com,yes,good
http://marykathrynlyerly.com/,29,com,yes,good
http://www.thebrewerscoop.com/,30,com,no,good
http://forums.station.sony.com/eq/forums/show.m?forum_id=307,60,com,yes,good
http://www.tattoo-shop.com/,27,com,yes,good
http://www.systechdisplays.com,30,com,yes,good
http://www.cheatscodesguides.com/gameboy-advance-cheats/metroid-fusion/,71,com,yes,good
http://www.affter.org/,22,org,no,good
http://www.holisticrenewal.com/,31,com,yes,good
http://www.franceonu.org/,25,org,yes,good
http://www.geocities.com/athens/acropolis/6914/watt.htm,55,com,no,good
